,sercdoa_OA_ser,INVN_F,UBFC_Fshelfmark,PVCS_OAcountry,PVCC_OAtown,LDCN_OArep,PRVC_OAprev_town,AUFI_Fatelier_address,AUFN_Faut,SGLT_Ftitle,SGTT_OAtitle,AUTN_OAaut,OGTT_OAtype,AUTB_Fsubj_main,OGTDOA_OAsubj_sub,ROFI_Fneg,BIBA_OAbib,OSS_Fnotes,OSS_OAnotes,FTAN_filename,NCTN_F_entry,NRSCHEDA_OA_entry,DTZG_OAcentury,LRD_Fshotdates,DTSI_Fprintdates,DTSF_Fprintdates,AUFA_Faut_dates,Note,status
10,177782,sup 896,PA_Marche 002,Italia,Fano,Chiesa di S. Francesco (ex),,Alinari,"Alinari, Fratelli",Fano - Chiesa di S. Francesco. Monumento di Paola Bianca Malatesta (1398).,Monumento funebre di Paola Bianca Malatesta,Filippo di Domenico,scultura,"Scuola italiana, scuola veneta, scuola veneziana",monumento funebre,14136,,"Fotografia inserita in passepartout, mm 340x250.
Sul recto del passepartout, timbro: ""Donazione Supino"".
","Foto sup 893, verso: nota anonima manoscritta: Clara pudicicie dux Paulabianca potentis / A genetrice Traheus Ursini sanguine ortus / Cui patrium Malatesta genus - etc- etc. / Paolabianca was the wife of Pandolfo and mother of / Sigismund Malatesta. The two coasts are the Malatesta checky bass / and the Malatesta 3 Moors' heads. / Pandolfo's monument erected by Sigismund, is along side under the same porch."".",\FONDO_SUPINO\Italia\Marche\sup 896.jpg,800896,18542,sec. XV,1881-1887,1881,1899,1854-2019,,missing
11,177784,sup 868,PA_Marche 003,Italia,Ancona,Chiesa di S. Francesco delle Scale,,,Anonimo,San Francesco. Ancona,,Giorgio di Matteo,scultura,Scuola dalmata,portale,,,Fotografia incollata su cartoncino; supporto secondario mm 223x163.,,\FONDO_SUPINO\Italia\Marche\sup 868.jpg,800868,99520,sec. XV,1855-1920,1855,1920,,,missing
12,177785,sup 985,PA_Campania 002,Italia,Ravello,,,,Anonimo,Ravello - Esterno del Castelo dei Rufolo,Torre di Villa Rufolo,Maestranze attive a Ravello sec. XIII/ XIV,architettura,Arte romanica,torre,58,,Fotografia incollata su cartoncino; supporto secondario mm 398x280.,,\FONDO_SUPINO\Italia\Campania\sup 985.jpg,800985,104001,sec. XIII/ XIV,1855-1899,1855,1899,,,missing
13,177789,sup 870,PA_Marche 004,Italia,Ancona,,,,Anonimo,Catedrale. Ancona,Duomo di San Ciriaco,Maestranze attive ad Ancona sec. XI/ XIII,architettura,Arte romanica/ arte gotica,duomo,,,"Fotografia incollata su cartoncino; supporto secondario mm 165x225.
",,\FONDO_SUPINO\Italia\Marche\sup 870.jpg,800870,99521,sec. XI/ XIII,1855-1920,1855,1920,,,missing
14,177796,sup 988,PA_Campania 003,Italia,Cava de' Tirreni,Abbazia della Trinità,,G. Sommer - Napoli,"Sommer, Giorgio",Cava. Convento della SS. Trinità. Bassorilievo,,Anonimo sec. III a.C.,scultura,Arte romana,sarcofago,8156,,Fotografia incollata su cartoncino; supporto secondario mm 317x380.,"Foto sup 988, verso: nota anonima manoscritta: ""Here also his buried Sibylla of Burgundy. ""Rex huic dat rupi Rogerius arva Siclorum. Dat corynx cineres masta Sibylla suos"". The lower sarcophagus is greco-romano and beautiful."".",\FONDO_SUPINO\Italia\Campania\sup 988.jpg,800988,104002,sec. III a.C.,1855-1886,1880,1899,,"Here also his buried Sibylla of Burgundy. ""Rex huic dat rupi Rogerius arva Siclorum. Dat corynx cineres masta Sibylla suos"". The lower sarcophagus is greco-romano and beautiful."".",complete
15,177797,sup 871,PA_Marche 005,Italia,Ancona,Chiesa di S. Agostino (ex),,,Anonimo,Sant'Agostino. Ancona,,Giorgio di Matteo,scultura,Scuola dalmata,portale,,,"Fotografia incollata su cartoncino; supporto secondario mm 252x174.
",,\FONDO_SUPINO\Italia\Marche\sup 871.jpg,800871,75493,sec. XV,1855-1920,1855,1920,,,missing
16,177798,sup 991,PA_Campania 004,Italia,Salerno,Cattedrale di S. Matteo,,G. Sommer - Napoli,"Sommer, Giorgio",Salerno. Duomo. Tomba della Regina Marg. di Durazzo,Monumento funebre della regina Margherita di Durazzo,Baboccio Antonio,scultura,"Scuola italiana, scuola meridionale",monumento funebre,11860,NR,Fotografia incollata su cartoncino; supporto secondario mm 400x280.,"Le fotografie che documentano l'opera sono conservate in fascicoli con intestazioni diverse.
&#10;Foto sup 991, verso: nota anonima manoscritta: ""Queen Margherita widow of Carlo III, who died in 1412. A grand monument by Baboccio. Above the queen reclining on ta sarc. and 4 angels drawing back the costains. On the sarc. in front the queen scaled surrounded by the ladies of her court and her children. On the rear of sarc. the queen scaled amidst 14 huns. The sides have magnificent A[?]. Below 4 virtues support the tomb [...]""",\FONDO_SUPINO\Italia\Campania\sup 991.jpg,800991,80109,sec. XV,1886-1888,1886,1899,,"Queen Margherita widow of Carlo III, who died in 1412. A grand monument by Baboccio. Above the queen reclining on ta sarc. and 4 angels drawing back the costains. On the sarc. in front the queen scaled surrounded by the ladies of her court and her children. On the rear of sarc. the queen scaled amidst 14 huns. The sides have magnificent A[?]. Below 4 virtues support the tomb [...]""",incomplete
17,177799,sup 998,PA_Campania 005,Italia,Salerno,Cattedrale di S. Matteo,,G. Sommer - Napoli,"Sommer, Giorgio",Salerno. Duomo. Tomba di Nicola Piscicelli. Arci di Salerno,,Jacopo della Pila,scultura,"Scuola italiana, scuola lombarda",monumento funebre,11861,,Fotografia incollata su cartoncino; supporto secondario mm 280x400.,"Foto sup 998, verso: nota manoscritta anonima: ""Piissimi Patris Nicolai Piscicelli optimi presidis Salern. orsa. MCCCCLXXI. It is rather stift for the date. The Piscicelli were ""delle famiglie primarie di Napoli"""".",\FONDO_SUPINO\Italia\Campania\sup 998.jpg,800998,74965,sec. XV,1886-1888,1886,1899,,"Piissimi Patris Nicolai Piscicelli optimi presidis Salern. orsa. MCCCCLXXI. It is rather stift for the date. The Piscicelli were ""delle famiglie primarie di Napoli"""".",complete
18,177800,sup 873,PA_Marche 006,Italia,Urbino,,,Alinari,"Alinari, Fratelli",Urbino - Chiesa di S. Francesco. Parte posteriore col campanile,Chiesa di San Francesco,Maestranze attive a Urbino sec. XV,architettura,Arte romanica/ arte gotica,chiesa,827,,"Fotografia incollata su cartoncino; supporto secondario mm 150x125.
Nel catalogo Alinari ""Terza Appendice"" del 1887 la foto compare citata con un altro numero di inventario: 15366. Il numero che compare sulla foto è presumibilmente precedente.",,\FONDO_SUPINO\Italia\Marche\sup 873.jpg,800873,99523,sec. XIV,1881-1887,1881,1887,1854-2019,,missing
19,177803,sup 1000,PA_Campania 006,Italia,Cava de' Tirreni,Abbazia della Trinità,,G. Sommer - Napoli,"Sommer, Giorgio",Cava. Convento della SS. Trinità. Bassorilievo,,Anonimo sec. IV/ III a.C.,scultura,Arte romana,sarcofago,8163,,Fotografia incollata su cartoncino; supporto secondario mm 317x380.,"Foto sup 1000, verso: nota anonima manoscritta: ""Rude sarcophagus in the porch of the church. The story of the hunting of the wild bour of Calydon."".",\FONDO_SUPINO\Italia\Campania\sup 1000.jpg,801000,104004,sec. IV/ III a.C.,1855-1886,1880,1899,,"Rude sarcophagus in the porch of the church. The story of the hunting of the wild bour of Calydon."".",complete
20,177804,sup 1001,PA_Campania 007,Italia,Cava de' Tirreni,,,,Brogi,Contorni di Salerno - (Abbadia Trinità della Cava) Chiostro; stile Lombardesco,Chiostro dell'Abbazia della Trinità,Maestranze attive a Cava de' Tirreni sec. XIII,architettura,Arte romanica,chiostro,5468,,"Fotografia incollata su cartoncino; supporto secondario mm 310x381.
La foto compare nel Catalogo Brogi ""Catalogo delle Fotografie. Pitture, Vedute, Sculture, ecc. Napoli e Campania, Roma e Lazio, Sicilia, Bologna, Rimini, ecc."" 1912.",,\FONDO_SUPINO\Italia\Campania\sup 1001.jpg,801001,104005,sec. XIII,1855-1899,1855,1899,1859-1986,,missing
21,177805,sup 1002,PA_Campania 008,Italia,Amalfi,,,G. Sommer - Napoli,"Sommer, Giorgio",Cattedrale Amalfi,Cattedrale di Sant'Andrea,Maestranze attive ad Amalfi sec. IX/ XIII,architettura,Arte romanica,cattedrale,1127,,Fotografia incollata su cartoncino; supporto secondario mm 380x317.,"Foto sup 1002, verso: nota anonima manoscritta: ""Amalfi. This campanile is said to date from 1153, temp. king Roger, but I much do not; at all wears, the superstructure is much more modern. It has, says Fr. Leuermant, des veritables mosaiques à grandes pieces (lava) incrustees dans l'appareil de gros bloes de Calcaire. Elles dessinent les lions rucupents d'un style tout heraldique. Le lion était l'embleme de la dynastie normande"".
&#10;Foto sup 1003, verso: nota anonima manoscritta: ""Cloister of the Canonica founded in 1213 by Cardinal Pietro Capuano."".
&#10;Foto sup 1012, verso: nota anonima manoscritta: ""In cloister of Amalfi Duomo. Sarc. of an archbishop of the Capuani family (by the coat) who died about 1350; Pietro Capanno was he called. The relief of the Madonna della Neve is of about 1400; the two Jesuit Saints are of course after 1600"".",\FONDO_SUPINO\Italia\Campania\sup 1002.jpg,801002,104006,sec. IX/ XIII,1855-1875,1870,1899,,"Amalfi. This campanile is said to date from 1153, temp. king Roger, but I much do not; at all wears, the superstructure is much more modern. It has, says Fr. Leuermant, des veritables mosaiques à grandes pieces (lava) incrustees dans l'appareil de gros bloes de Calcaire. Elles dessinent les lions rucupents d'un style tout heraldique. Le lion était l'embleme de la dynastie normande"".
",complete
22,177806,sup 1003,PA_Campania 009,Italia,Amalfi,,,G. Sommer - Napoli,"Sommer, Giorgio",Amalfi. Convento dei Cappuccini. Chiostro,Chiostro del Paradiso,Maestranze sec. XIII,architettura,Arte romanica,chiostro,8155,,Fotografia incollata su cartoncino; supporto secondario mm 280x400.,"Foto sup 1002, verso: nota anonima manoscritta: ""Amalfi. This campanile is said to date from 1153, temp. king Roger, but I much do not; at all wears, the superstructure is much more modern. It has, says Fr. Leuermant, des veritables mosaiques à grandes pieces (lava) incrustees dans l'appareil de gros bloes de Calcaire. Elles dessinent les lions rucupents d'un style tout heraldique. Le lion était l'embleme de la dynastie normande"".
&#10;Foto sup 1003, verso: nota anonima manoscritta: ""Cloister of the Canonica founded in 1213 by Cardinal Pietro Capuano."".
&#10;Foto sup 1012, verso: nota anonima manoscritta: ""In cloister of Amalfi Duomo. Sarc. of an archbishop of the Capuani family (by the coat) who died about 1350; Pietro Capanno was he called. The relief of the Madonna della Neve is of about 1400; the two Jesuit Saints are of course after 1600"".",\FONDO_SUPINO\Italia\Campania\sup 1003.jpg,801003,104014,sec. XIII,1855-1886,1880,1899,,"Cloister of the Canonica founded in 1213 by Cardinal Pietro Capuano."".
",complete
23,177807,sup 1004,PA_Campania 010,Italia,Ravello,,,G. Sommer - Napoli,"Sommer, Giorgio",Amalfi. Ravello,Torre di Villa Rufolo,Maestranze attive a Ravello sec. XIII/ XIV,architettura,Arte romanica,torre,8161,,Fotografia incollata su cartoncino; supporto secondario mm 317x380.,,\FONDO_SUPINO\Italia\Campania\sup 1004.jpg,801004,104001,sec. XIII/ XIV,1855-1886,1880,1899,,,missing
24,177808,sup 1005,PA_Campania 011,Italia,Amalfi,,,Reale Fotog.a Fr.o Pesce. Napoli Toledo 348 P°.,"Pesce, Francesco",Convento S. Francesco. Amalfi,Chiostro di Sant'Antonio,Maestranze attive ad Amalfi sec. XIII,architettura,Arte romanica,chiostro,810,,Fotografia incollata su cartoncino; supporto secondario mm 280x400.,"Foto sup 1005, verso: nota anonima manoscritta: ""Amalfi. Cloister of San Francesco founded by the Saint himself in 1220. The convent is now the Hotel de la Lana, but the church, tho' of trenewed in stile in use and contains the crypt where the saint lived and where he nonnulla miracula patravit."".",\FONDO_SUPINO\Italia\Campania\sup 1005.jpg,801005,104008,sec. XIII,,1855,1899,,"Amalfi. Cloister of San Francesco founded by the Saint himself in 1220. The convent is now the Hotel de la Lana, but the church, tho' of trenewed in stile in use and contains the crypt where the saint lived and where he nonnulla miracula patravit."".",complete
25,177809,sup 874,PA_Marche 007,Italia,Urbino,,,,"Poppi, Pietro",Urbino. Palazzo Ducale,Palazzo Ducale di Urbino,Laurana Luciano,architettura,Scuola dalmata/ scuola italiana,palazzo,(652),,"Fotografia incollata su cartoncino; supporto secondario mm 380x315.
https://www.alinari.it/it/dettaglio/FBQ-F-001405-0000?search=3ef6ecd93ee641acd3e80b36191a92dd&searchPos=2","Foto sup 874, verso: nota anonima manoscritta: ""Urbino. / Palazzo Ducale, the old Montefeltro castle entirely remodelled / in 1447 by duke Federigo."".",\FONDO_SUPINO\Italia\Marche\sup 874.jpg,800874,99522,sec. XV/ XVI,1855-1879,1866,1899,,"Urbino. / Palazzo Ducale, the old Montefeltro castle entirely remodelled / in 1447 by duke Federigo."".",complete
26,177810,sup 876,PA_Marche 008,Italia,Urbino,Palazzo Ducale,,,"Alinari, Fratelli",Urbino - Palazzo Ducale. Finestra per lo scalone con la statua del duca Federico (Girolamo Campagna),,Campagna Girolamo,scultura,"Scuola italiana, scuola veneta",statua,781,,"Fotografia incollata su cartoncino; supporto secondario mm 381x316.
Nel catalogo Alinari ""Terza Appendice"" del 1887 la foto compare citata con un altro numero di inventario: 15380. Il numero che compare sulla foto è presumibilmente precedente.",,\FONDO_SUPINO\Italia\Marche\sup 876.jpg,800876,99524,sec. XVII,1881-1887,1881,1887,1854-2019,,missing
27,177811,sup 878,PA_Marche 009,Italia,Urbino,Palazzo Ducale,,Fotog. dell'Emilia Bologna,"Poppi, Pietro",Porta detta della Guerra nel Palazzo Ducale d'Urbino,Porta della Guerra,Giovanni di Stefano,scultura,"Scuola italiana, scuola toscana, scuola senese",porta,778,NR,"Fotografia incollata su cartoncino; supporto secondario mm 380x317.
",,\FONDO_SUPINO\Italia\Marche\sup 878.jpg,800878,99525,sec. XV,1855-1879,1866,1899,,,missing
28,177812,sup 880,PA_Marche 010,Italia,Urbino,Palazzo Ducale,,,"Poppi, Pietro",Urbino. Palazzo Ducale. Porta della Sala del Magnifico,,Anonimo marchigiano sec. XV,scultura,"Scuola italiana, scuola marchigiana",porta,(784),,"Fotografia incollata su cartoncino; supporto secondario mm 380x317.
https://www.alinari.it/it/dettaglio/AVQ-A-001084-0088?search=3ef6ecd93ee641acd3e80b36191a92dd&searchPos=4",,\FONDO_SUPINO\Italia\Marche\sup 880.jpg,800880,99526,sec. XV,1855-1879,1866,1899,,,missing
29,177813,sup 881,PA_Marche 011,Italia,Gradara,Rocca,,Alinari,"Alinari, Fratelli",Gradara - Rocca. Madonna col Bambino Gesù e Santi (Luca della Robbia?).,,Della Robbia Andrea,scultura,"Scuola italiana, scuola toscana",pala d'altare,877,,"Fotografia incollata su cartoncino; supporto secondario mm 381x317.
Nel catalogo Alinari ""Terza Appendice"" del 1887 la foto compare citata con un altro numero di inventario: 14813. Il numero che compare sulla foto è presumibilmente precedente.",,\FONDO_SUPINO\Italia\Marche\sup 881.jpg,800881,99527,sec. XV,1881-1887,1881,1887,1854-2019,,missing
30,177815,sup 1006,PA_Campania 012,Italia,Amalfi,,,,Anonimo,Amalfi. Portico della Cattedrale,Cattedrale di Sant'Andrea,Maestranze attive ad Amalfi sec. IX/ XIII,architettura,Arte romanica,cattedrale,50,,Fotografia incollata su cartoncino; supporto secondario mm 398x280.,"Foto sup 1002, verso: nota anonima manoscritta: ""Amalfi. This campanile is said to date from 1153, temp. king Roger, but I much do not; at all wears, the superstructure is much more modern. It has, says Fr. Leuermant, des veritables mosaiques à grandes pieces (lava) incrustees dans l'appareil de gros bloes de Calcaire. Elles dessinent les lions rucupents d'un style tout heraldique. Le lion était l'embleme de la dynastie normande"".
&#10;Foto sup 1003, verso: nota anonima manoscritta: ""Cloister of the Canonica founded in 1213 by Cardinal Pietro Capuano."".
&#10;Foto sup 1012, verso: nota anonima manoscritta: ""In cloister of Amalfi Duomo. Sarc. of an archbishop of the Capuani family (by the coat) who died about 1350; Pietro Capanno was he called. The relief of the Madonna della Neve is of about 1400; the two Jesuit Saints are of course after 1600"".",\FONDO_SUPINO\Italia\Campania\sup 1006.jpg,801006,104006,sec. IX/ XIII,,1861,1899,,,missing
31,177818,sup 882,PA_Marche 012,Italia,Loreto,Santuario della Santa Casa,,Brogi,Brogi,Loreto. Recinto della S. Casa,,Lombardo Aurelio,scultura,"Scuola italiana, scuola veneta",reliquiario architettonico,4298,NR,"Fotografia incollata su cartoncino; supporto secondario mm 381x317.
","Foto sup 882, verso: nota anonima manoscritta: ""Santa Casa. Loreto. / The Annunciation by the elder Sansovino. He worked at the S. Casa from / 1513 to 1523. Says Vasari: ""non di marmo ma pare veramente celeste"". / The visitation and the Ta[...] by Montelupo and Fr. da Sangallo. / Medici arms"".",\FONDO_SUPINO\Italia\Marche\sup 882.jpg,800882,75083,sec. XVI,1855-1878,1870,1899,1859-1986,"Santa Casa. Loreto. / The Annunciation by the elder Sansovino. He worked at the S. Casa from / 1513 to 1523. Says Vasari: ""non di marmo ma pare veramente celeste"". / The visitation and the Ta[...] by Montelupo and Fr. da Sangallo. / Medici arms"".",incomplete
32,177828,sup 1007,PA_Campania 013,Italia,Capua,Museo Provinciale Campano di Capua,,,"Moscioni, Romualdo",Capua - Museo sculture preistoriche,Mater matuta,Anonimo sec. VI/ I a.C.,scultura,Arte italica,statua,6088,,"Fotografia incollata su cartoncino; supporto secondario mm 381x313.
La foto compare nel Catalogo Moscioni 1903.","Foto sup 1007, verso: nota anonima manoscritta: ""The great Oscan godders of maternity. This of tufo covered with stucco."".",\FONDO_SUPINO\Italia\Campania\sup 1007.jpg,801007,104007,sec. VI/ I a.C.,1855-1899,1873,1899,,"The great Oscan godders of maternity. This of tufo covered with stucco."".",complete
33,177829,sup 884,PA_Marche 013,Italia,Ancona,,,,"Alinari, Fratelli",Ancona - Chiesa di S. Maria in Piazza (XIII secolo),Chiesa di S. Maria della Piazza,Maestranze attive ad Ancona sec. XIII,architettura,Arte romanica,chiesa,657,,"Fotografia incollata su cartoncino; supporto secondario mm 381x316.
Nel catalogo Alinari ""Terza Appendice"" del 1887 la foto compare citata con un altro numero di inventario: 14039. Il numero che compare sulla foto è presumibilmente precedente.","Foto sup 884, verso: nota anonima manoscritta: ""Ad matrem Christi qua templo presidet isti / Qui legis ingredere, veniamq; precando merere. / Cum bis centenus ausisset tempora denus / Annus millenus floreret papa Serenus / Imperiiq; decus princeps Otto. Sumere equus / Hec Philippe pie decorasti cum pie Marie. / This is Otto the Guelph Anno 1210"".",\FONDO_SUPINO\Italia\Marche\sup 884.jpg,800884,99528,sec. XIII,1881-1887,1881,1887,1854-2019,"Ad matrem Christi qua templo presidet isti / Qui legis ingredere, veniamq; precando merere. / Cum bis centenus ausisset tempora denus / Annus millenus floreret papa Serenus / Imperiiq; decus princeps Otto. Sumere equus / Hec Philippe pie decorasti cum pie Marie. / This is Otto the Guelph Anno 1210"".",complete
34,177843,sup 885,PA_Marche 014,Italia,Ancona,Museo Diocesano,,,"Alinari, Fratelli",Ancona - Cattedrale. Cappella sotteranea. Tomba del Beato Gabriele Ferretti (XIV secolo).,Cenotafio del Beato Gabriele Ferretti,Anonimo dalmata sec. XV,scultura,Scuola dalmata,cenotafio,649,,"Fotografia incollata su cartoncino; supporto secondario mm 316x380.
Nel catalogo Alinari ""Terza Appendice"" del 1887 la foto compare citata con un altro numero di inventario: 14035. Il numero che compare sulla foto è presumibilmente precedente.","Foto sup 885, verso: nota anonima manoscritta: ""Fra Gabriele died in 1456. The monument is a fine renaissance work"".",\FONDO_SUPINO\Italia\Marche\sup 885.jpg,800885,99529,sec. XV,1881-1887,1881,1887,1854-2019,"Fra Gabriele died in 1456. The monument is a fine renaissance work"".",complete
35,177850,sup 889,PA_Marche 015,Italia,Ancona,Museo Diocesano,,,Anonimo,Sarcophagus of Titus Gorgonius,Sarcofago di Gorgonio,Anonimo sec. IV,scultura,Arte paleocristiana,sarcofago,,,"Fotografia incollata su cartoncino; supporto secondario mm 317x380.
","Foto sup 889, verso: nota anonima manoscritta: ""Ancona. La cripth of Duomo, S. Ciriaco. Sarcophagus of Titus Gorgonius, precetor of / Ancona and of his wife. The wedded pair are represented on the / front as crowding at the feet of Christ, on the back / in a medallion embraing one another. //
&#10;The inscription says: T.L. Gorgonius vc ex comite largitionum privatarum exp. pret. fie. sibi pus. The [...]"".",\FONDO_SUPINO\Italia\Marche\sup 889.jpg,800889,99530,sec. IV,1855-1899,1855,1899,,"Ancona. La cripth of Duomo, S. Ciriaco. Sarcophagus of Titus Gorgonius, precetor of / Ancona and of his wife. The wedded pair are represented on the / front as crowding at the feet of Christ, on the back / in a medallion embraing one another. //
",complete
36,177861,sup 891,PA_Marche 016,Italia,Fano,,,Alinari,"Alinari, Fratelli",Fano. La Fortezza (XV secolo) e ponte della ferrovia.,Rocca Malatestiana,Nuti Matteo,architettura,Scuola italiana,rocca,701,,"Fotografia incollata su cartoncino; supporto secondario mm 314x381.
Nel catalogo Alinari ""Terza Appendice"" del 1887 la foto compare citata con un altro numero di inventario: 14140. Il numero che compare sulla foto è presumibilmente precedente.","Foto sup 891, verso: nota anonima manoscritta: ""Built by Sigismund Malatesta in 1452. / It is now a prison. On its wall: /  Sigismundus Pandulfus Pan. 7. / Minimis antiquissimorum murorum reliquis / Hic inventis, arcis hagus turres et muros / Et opportunissimum maris terraque / Accursum dedit. MCCCCLII"".",\FONDO_SUPINO\Italia\Marche\sup 891.jpg,800891,99531,sec. XV,1881-1887,1881,1887,1854-2019,"Built by Sigismund Malatesta in 1452. / It is now a prison. On its wall: /  Sigismundus Pandulfus Pan. 7. / Minimis antiquissimorum murorum reliquis / Hic inventis, arcis hagus turres et muros / Et opportunissimum maris terraque / Accursum dedit. MCCCCLII"".",complete
