,Unnamed: 0.1,Inv,Note,status
39,39,sup 135,"The throne of Neptune - Greek bas relief in San Vitale. Ravenna"".",complete
40,40,sup 141,"Ravenna. / Battistero della Basilica Ursiana / The oldest building in Ravenna, circa 430. / The font also is of the 5 th. century"".
",complete
41,41,sup 143,"Ravenna. / S. Francesco. / Sarcophagus of S. Liberio II, archibishop of Ravenna. / Now an altar. / He died towards the end of the 4 th. century, before 400. / ""Noch von antiker trefflichkeit"""".",complete
42,42,sup 142,"Ravenna / Basilica Ursiana. /  Sarcophagus containing the remains of S. S. Maximianus and / Exuperantius, archibishops of Ravenna. It is now an altar. Maximiano died in 532, Exuperantius in 432"".",complete
43,43,sup 159,"Sacresty. Duomo. Ravenna. /  Silver cross. By the lettering of the inscription: / ""Salve crux Christi benedicta redemptio mundi."" / It appears to the of about the year 1300"".",complete
44,44,sup 161,"S. Francesco. Ravenna. / [...] tomb of Ostasio da Polenta, who died in 1386. / He was probably the grandson of Dantes protector Guido, / the father of Francesca. He was the great, great, grandson. / In his lifetime a warrior and tyrant, he put on S. Francis / habit to die saving his soul. / Someone has stolen his marble feet. / Hic jacet magnificus Dominus ..."".",incomplete
45,45,sup 135,"Ravenna. / Mausoleo of Galla Placidia. / Sarcophagus of the Emperor Onorio, her brother. † 423"".",complete
46,46,sup 167,"Ravenna. / S. Apollinare in Classe. / San Teodoro died A.D. 688""",complete
47,47,sup 1114 verso,"The duchess died in 1470. The duke was so pleased with the monument of the Cardinal of Portugal that he gave Antonio Rosselino a commission for a similar work. See Perkins. Qui legis hac, submissius legas, ne dormientem excites. Rege Ferdinando ..."".",incomplete
48,48,sup 168,"Ravenna. S. Vitale. / Sarcophagus of the Exarch Isaac, the great ornament of Armenia 619-638. / Erected by his wife Susanna, who, in the great inscription, calls herself / a widowed [...] dove.""",incomplete
49,49,sup 1115,"San Giovanni a Carbonara. Naples. Tomb of Galeazzo Caraccioli by Pietro della Plata and Giovanni da Nola. about 1530. The chapel of these Caraccioli Rossi was founded by Galeazzo in 1516, the monument put up by his son. The Adam was stolen by the French"".",complete
50,50,sup 1116,"Monument to Maria di Durazzo who died in 1371, aged 7 years. She was the daughter of Charles III and sister of king Ladislaus. Hic jacet corpus illustrix (sic) puele dne Marie d'Duracio filia (sic) regis"".",complete
51,51,sup 171,"Ravenna. / Basilica Ursiana. / The two ends of the sarcophagus of S. Barbatianus. / 5 th. century"".",complete
52,52,sup 1118,"Carlo died in 1476, but the monument was not made until some 40, or more years, after. It is a good work of Giov. da Nola"".",complete
53,53,sup 1122,"Lantrees monument put up about 1560 by Gonsalvo da Corllebas nephew. ""Gallo duci princeps Hispanus posuit"""".",complete
54,54,sup 175,"Ravenna. Museo Lapidario in archibishop palace. / The principal inscription reads thus: / Hic requiescit in pace vir sbl / sed aignicus et cubicularius regis / Theodorici qui vixit ann. plm. / XL. depositus est sub d. IIII id. / Martias Basilio jun. v.c. cons. / indictione quarta"".",complete
55,55,sup 1124,"Vincentio Spinelli aged 42, son of Ferdinand Protonotarius, erected by Virginia Caraccioli, his wreping wife in 1576. Her bass is at the side of the monument. The Spinelli were one of the older families of Naples. They have a bishop in a pagan sarc. in the Priorato of Rome"".",complete
56,56,sup 1125,"Traiano Spinelli, the son of Ferdinand, aged 36. He died in 1576. The monument was erected by the wrepius Catherina Ursina, his wife"".",complete
57,57,sup 1126,"Monument of Isabella Spinelli, who died in 1580, erected by her sons Alfonsus and Antonius Caraccioli"".",complete
58,58,sup 1128,"Dorotea Spinelli, a widow aged 63; erected by her son Iulius Caesar Capua Conchae princeps"".",complete
59,59,sup 1131,"Hic jacet dna. Trudella Filumarina de Neapoli filiae dni. Loffridi Filumarini seneschalchi domini ducis que obiit anno dni. MCCCXXXV die XXV mense septembris undic. V. cupus anima requiescat in pace. His jacet dominus Loffridus Filumarinus senescal. dni. ducis Calabrie qui obiit anno MCCCXXXV die quarto decimo mens. Aprelis. cuy. ani. requiescat ..."".",incomplete
60,60, sup 1300,"S. Gennaro. Naples. Gothic monument to Cardinal Minutoli, who died at Bologna in 1412. / Enrico Minutoli, a noble Neapolitan, made a Cardinal by Boniface IX in 1389, died at Bologna and was buried in a sumptuons mausoleum in his family chapel in the Cathedral of Naples. The tomb was made by Antonio di Domenico of Piperno, called Bamboccio"".",complete
61,61,sup 1133,"1530. Monument of Andrea Bonifacio Cicara, a child of six years of age. It is about the best work of Giovanni da Nola. The inscription is by Sannazzaro. Nate patris et matris amor et suprema voluptas Ex tibi quae nobis te dare sors vetuit Busta etiam tristesq notas domus invida quando Mors immaturo funere te rapuit. Andrea filio dulciss. qui vixit ..."".",incomplete
62,62,sup 179,"Ravenna. / S. Francesco. / Sarcophagus of 4 th. or 5 th. century, used in 1707 by a noble Ravennate"".",complete
63,63,sup 1137,"Tomb of the last Cicara by Pietro della Plata, a spaniard. The inscription is by Sannazzaro. Yoanni Baptiste Cicaro In quo vetusta ac nobilis. Cicaror familia esse desiit. Mariella mater infeliciis. memoria causa contra votum pietatis posuit. Vin. Ann. XXII M.IX D. XXIX Hor. XVI Decessit salutis Anno MDIIII Prid. Kl. Decembr. ..."".",incomplete
64,64,sup 181,"Ravenna. / Mausoleo of Galla Placidia. / Sarcophagus of Costantinus III, her second husband † A.D. 421"".",complete
65,65,sup 1138,"Filippo of Taranto was titular Emperor of Costantinople. He died in 1332. It was younger brother of king Robert"".",complete
66,66,sup 1139,"Giovanni of Durazzo, who died in 1335, was a younger brother of king Robert"".",complete
67,67,sup 1140,"Gothic tomb of Giovanna d'Aquino, Countess of Mileto and Terranuova, who died in 1345 Below in the sarcophagus and inscription of a boy of the Aquino family, Gaspare, who died in 1530 and who, Mr. Hare says, was her son!!"".",complete
68,68,sup 1143,"The tomb of Antonia Gaudino snatched away in 1530 from the bridegroom, the wedding torches and the conch at the early age of 14. This is a pleasing work of Giovanni da Nola"".",complete
69,69,sup 184,"Ravenna. / S. Francesco. / Sarcophagus of 4 th. century. In the middle ages it was used by some noble, whose coat it bears"".",complete
70,70,sup 1231,"Monument of King Robert the wise erected by his granddaughter and successor Queen Giovanna. Baccio and Giovanni, fiorentini the artists. He died in 1343. He is represented four times: 1. Standing with his wives and children. 2.Lying on his deathbed, clad as a Franciscan. 3.Seated on his throne. 4. Kneeling and presented to the [...] See Perkins ...""",incomplete
71,71,sup 171,"Ravenna. / Basilica Ursiana. / The two ends of the sarcophagus of S. Rinaldus, archibishop"".",complete
72,72,sup 186,"Ravenna. / S. Maria in Porto. Campanile said to be of 11 th. century. / It is like Campanile of S. Marco at Venice. More than half of the exterior tower has come away leaning. / The interior tower standing and showing marks of the wanting stairs"".",complete
73,73,sup 1146,"about 1380"".",complete
74,74,sup 171,"Ravenna. / Basilica Ursiana. / Sarcophagus of S. Barbatianus, Galla Placidia confessor. / 5 th. century"".",complete
75,75,sup 171,"Ravenna. / Basilica Ursiana. / Sarcophagus of S. Rinaldo, Archibishop of Ravenna. This is of the fifth century but S. Rinaldo himself died A. D. 1321. / Raynaldo de Mediolano de domo Corrigio, homo sancta et honesta / vita, qui nulla miracula fecit. Suo tempore constructa est de novo / tota navis ecclesiae ursianae et balena Ravenna [...] est in ripa maris. / Sepultus est in eccl. maj. de Ravenna in arca juncta altare / S. Maria in medio eccl"".",incomplete
76,76,sup 188,"The so called Apotheosis of Augustus - Sacresty San Vitale Ravenna. / I think it represents the Julian family: / Julius seated (much like an old woman), Augustus in armour, / Drusus, Livia and Tiberius. The figure in armour resembles the / statue found at Prima Porta ad Gallinas Albas"".",complete
77,77,sup 197,"S. Apollinare in Classe near Ravenna. / Mosaic of end of 7th Century - the last in point of date of Ravenna"".",complete
78,78,sup 198,"San Vitale. Ravenna. Mosaic of 547. / The empress Theodora surrounded by the ladies of her court bears / an offering to the temple of San Vitale. She has the halo as a mark of dignity"".",complete
79,79,sup 3259,"San Vitale. Ravenna consecrated by Bishop / Maximianus in 547. / The emperor Justinian bearing a royal offering accompanied by bishop, priest and soldiers. The emperor alone has the halo as a mark of dignity. This is a superb mosaic but has been much retouched"".",complete
80,80,sup 200,"Ravenna. / Chapel of S. Pietro Chrisologo in Archbishops palace. / Roof in mosaics with angels and evangelists. 547 A. D."".",complete
81,81,sup 201,"Giovanni Evangelista. Ravenna. / Doorway of atrium of beginningf of 4 th. century. / The basreliefs represent the Empress Galla Placidia / embracing the Apostole's foot and carrying off his sandal, and above her offering the sandal to Jesus Christ and St. John, / whilst her confessor S. Barbatium is assisting at both scenes. / Galla Placidia built the basilica in 425 in discharge / of a vow made during a storm at sea"".
",complete
82,82,sup 3260,"San Vitale, Ravenna. A.D. 550"".",complete
83,83,sup 232,"Ravenna. / S. Apolinare Nuovo built by Theodoric and consecrated / and adorned with the most beautiful mosaics in Italy in 570. / The Campanile is probably of the 9 th. century, perhaps contemporary / with the rededication of the Church in 856"".",complete
84,84,sup 234,"Ravenna, / Museum in Archbishops palace. / Arian cross in marble""",complete
85,85,sup 1149,"about 1380"".",complete
86,86,sup 1153,"Santa Chiara. Naples. The monumental record of two children, one the daughter of Charles the Illustrioris, who must have died shortly after her fathers death in 1320, the other an infant daughter probably of Queen Giovanna. The child died in 1344. Marie Karoli icliti pcipis dni Robti Tertm Sicilie regis pmogeneti quda Calabrie pclarissime ..."".",incomplete
87,87,sup 239,"Ravenna. / The Campanile of S. Appolinaris ad Classem, or in Classe. / The Church built under the Gothic rule was consecrated / in 549. / The Campanile is later as its bricks are smaller than and of inferior workmanship to those used in the walls of the Abbey. Mr. Freeman says it is later than Charlemagne, as it is not / mentioned by Agnellus, a local writer of the 9th century"".",complete
88,88,sup 1155,"About 1350"".",complete
89,89,sup 1157,"Marie de Valois was the wife of Duke Charles of Calabria. She died in 1328. She is represented in a blue mantle. The tomb is of a quiet, lifeless, but comparatively correct style, says Mr. Perkins. It is by an artist of the Tuscan school, probably a follower of Tino da Camaino"".",complete
90,90,sup 240,"Ravenna. / A venetian home"".",complete
91,91,sup 1159,"Hic requiescit corp. dne. Leticiae Caraczole pus. relicte quondam dni Philippi Caraczoli dicti Carrafa et so. domini Bartholomeo Bulchani que obiit anno dni. MCCCXXXX die ultimo mens. Januarii VIII Ind. Aia requiescat in pace. amen. So. means sorror The Vulcani were a great Neapolitan family to which the Cardinal, buried in Sancta Francesca Romana, belonged"".",complete
92,92,sup 1160,"Monument of Maria Queen of Charles II (lo Zoppo) and daughter of Stephen IV of Hungary. She died in 1323. This beautiful tomb is by Tino da Camaino. The seated figures round the sarcophagus represent her husband and children, amounght them her sainted son, Louis of Toulouse. Hic requiescit Sanctae Memoriae excellentissima Domina Domina Maria, Dei ..."".",incomplete
93,93,sup 1161,"The poet died in 1575. This is the master piece of Domenico d'Auria"".",complete
94,94,sup 1163,"1513. Justice and Temperance inspired by Sansovinos virtues in S. Maria del Popolo, Rome"".",complete
95,95,sup 1164,"Magnifico militi Tomasio Brancatio de Neapoli, qui cum moriens de sepultura nihil excogitasset, Julia Brancatia conjugi dilectissimo ac benemerenti faciundam curavit. MCCCCLXXXXII"".",complete
96,96,sup 1167,"Monument of King Ladislaus in S. Giovanni Carbonara, Naples. It is said to have been executed by Andrea Ciccione in 1433. It is transitional and therefore interesting in the history of art. It is in three divisions. Below, three virtues; then Ladislav and his sister, queen Joanna II, who ordered the tomb, seated; above the sarcophagus ..."".",incomplete
97,97,sup 1168,"Monument of Cardinal Rinaldo Brancaccio in S. Angelo a Nilo, Naples. This admirable work is by Donatello and Michelozzo, his scholar. ""Una sepoltura abbiamo fra le mani per Napoli, di Messer Rinaldo, Cardinale de' Brancacci di Napoli. Dobiamo avere fiorini 850 di camera, e a tutte nostre spese l'abiamo a compiere e condurre a Napoli; ..."".
",incomplete
98,98,sup 1169,"A good modern campanile for comparison with older forms. In this church lies Conradin"".",complete
99,99,sup 261,"Parma, in the biblioteca. / L'Incoronata brought from S. Giovanni, a wonderful fragment of fresco"".",complete
100,100,sup 264,"Ravenna. / Campanile of San Giovanni e Paolo. / The smallest and perhaps the oldest of the round campanili"".",complete
101,101,sup 281,"As Giacomo della Quercia left Bologna finally in 1435 / and died at Siena in 1438, he could not have made / this monument to Fava who died in 1439. It is / probably by one of his scholars"".",complete
102,102,sup 283,"Hannibal Bentivoglio slain by the Canedoli in 1458. / Quo nemo utilior patrie nec pace nec armis / Bentivole gentis Hannibal hic situs est / Expulit is dudum possessa ex urbe tirannum / Ut profugos cives restitutus patriae / A quibus ingratae sceleratu monte peremptus / Sed meritum sumptis factio supplicium / Nam sceleris tanti affinis quicumque fuisset / Hic ferro aut flamma oremia digna tulit"".",complete
103,103,sup 285,"Of the same period as the Tartagna monument in S. Domenico 1477. / The inscription is that of one the Malvezzi family who died / in this century"".
",complete
104,104,sup 291,"Executed by Fra Guglielmo"".",complete
105,105,sup 293,"Executed by Fra Guglielmo"".",complete
106,106,sup 315,"Taddeo Pepoli † 1307. / He was podestà of Bologna and had to give over the city to the legate / of the Avignon Pope Benedict XII in 1330"".",complete
107,107,sup 319,"Bologna. / Piazza di San Domenico. / Monument of the Foscherari. / It was erected in 1289 partly out of antique marbles / and makes mention of Egidius, moribus eximius"".",complete
108,108,sup 1175,"Museo Nazionale Napoli. The boxer of Aphrodisios from Sorrento"".
",complete
109,109,sup 1263,"Collignon says that this boxer is a copy of an original of the 5.th century B.C."".",complete
110,110,sup 324,"Duomo. Ferrara. / Lower portion dated 1135, upper of 13 th. and 14 th. centuries. / The marble head in a medallion over the side door is called / Donna Ferrara, it is probably the head of a lady of the Este / family. The statue in a niche is that of the Marchese Alberigo / d'Este and was put up in 1393"".",complete
111,111,sup 1179,"It is probably an archaistic work, the F+W N°21 hold it for archaic. In this relief the sex of the dead hunter is indicated"".",complete
112,112,sup 328,"This beautiful tomb which Perkins admires so much is / signed and dated: Ambrosii Mediolanensis opi 1475. / The verses beginning with: tu decus urbis were written by / Tito Strozzi. Lorenzo was the brother of Bartolomeo Roverella, the cardinal / buried in S. Clemente, Roma. Lorenzo was professor at Padua / in 1445, nuntius and legate of Calixtus and promoted in 1465 / by Pius III to the see of Ferrara. He celebrated the marriafe of Eleanor / of Aragon with duke Hercules in 1473 and died in 1474 at Monte / Oliveto. His brother transferred his remains to the church of S. George. / The reclining figure of the bishop on the monument is admirable / also the Virgin and child by the master; the 5 figures bu the scholar / are inferior, and the St. George above mediocre"".",complete
113,113,sup 1180,"An antique of the school of Praxiteles or Scopas, and brought to Naples with Farnese Collection. The torso is an original of the 4.th cent. B.C. and appears to be the school of Praxiteles"".",complete
114,114,sup 1182,"Found at Ischia. Farnese"".",complete
115,115,sup 1184,"Magnificent early renaissance tomb, under the influence of Donatello to Antonio Carrafa, called Malizia. +1438. +Magnificus dns. Malicia Carrafa, miles. obiit An. Dni. MCCCCXXXVIII. Observe him quite small presented by his Angel to the Madonna. Natorum hoc pietas struxit mihi sola sepulcrum; at which time king Alfonso brought peace back to Ausonia"".",complete
116,116,sup 1275,"San Giovanni a Carbonara, Naples. Monument of Ser Gianni Caracciolo, the grand seneschal and favorite of Queen Joanna II. He was eventually murdered. The work is ascribed to Andrea Ciccione. To me it is stiff and even clumsy, but interesting as showing the passage of the Gothic to the Renaissance at Naples. 1432 is the date of the great seneschals death ..."".",incomplete
117,117,sup 1195 verso,"Tomb of Mariano d'Alagni Count of Bucchianino and of Caterina Orsini, his wife; they died in 1477. If by Agnello Agnelli del Fiore, the monument must have been put up some years later, as he was born in 1465"".",complete
118,118,sup 332,"The blessed Marcolino was born at Forli in 1316 and died there in 1397. / He was a domenican, a reformer of his order and a great preacher. / He predicted the date of his death. / Many miracles were worked at his tomb, but he was not beatified by the Pope till 1750. / As Benedetto da Majano was born in 1442, he could not have made this work, dated 1458"".",complete
119,119,sup 1196,"1375. Observe the little dogs and the peculiar head dressed"".",complete
120,120,sup 1197,"Santa Chiara. Naples. Tomb of Raimondo del Balzo, Count of Soleto; he died in 1375. His falcon has but one leg"".",complete
121,121,sup 1198,"Tomb of Antonio da Penna secretary of king Ladislas, 1407, send to have been sculptured by Antonio Baboccio; to me it is too bad in style to be even by Baboccio and the lettering, perfect Latin except the x, makes it later then his time. Premia si meritis donant condigna superni Hic meruit superum post sua futa locum Dum vincit virtute ..."".",incomplete
122,122,sup 333,"Giacomo Salomoni was born in Venice in 1231 and died / at Forli in 1314, aged 83. He was called l'amico dei poveri. / His burial was illustrated by many miracles; the people of / Forli proclaimed him a saint, and afterwards he was beatified by the Pope"".",complete
123,123,sup 1203,"Monument of Ludovico Aldemoresco by Antonio Baboccio in 1414 at the age of 70. It is a rude monument but remarkable. S.t Louis of France presents his namesake to the Virgin and child. Aldemorescos brother is presented by an angel; the sarc. is supported by 4 armed members of the family. Viri sortissimi germaniq. fratres ex Aldemoniscorum familia ..."".",incomplete
124,124,sup 1205,"Santo Vitaliano Reg. Arag. alumno patri pientiss. Hippolite Imperator conjugi dulciss. Nicolaus Franciscus Vitalianus ad perpetuam memoriam erigendum cur. A. Sal. MCCCCLXXXXVII"".",complete
125,125,sup 1206,"Matheus Ferillus nobili et equestri ordine insignis, Muri comes, Alfonsi II regis ar. ac a cubiculo primus, cuisq dum paterentur anni gubernator, posteritati consulens sacellum hoc verginis assumptioni dicatum vivens sibi et suis f.c. A. Christo natalitas MCCCCLXXXXVIIII"".",complete
126,126,sup 1131,"Monument to Charles of Angon, who died in 1285, So Karl Martel, king of Hungary, Dantes friend, who died in 1301; To Clementina his wife (+1295), daughter of Kaiser Rudolf. It was put up by the Viceroy Olivares in 1599"".",complete
127,127,sup 1208,"Sigismundus Sanseverinus poisoned in 1516 on the same day and with the same poison as his brothers. By Giov. da Nola Observe below the best of Salvator Sanseverino, prince of Aricia, the last male of this most noble race"".",complete
128,128,sup 1209,"Ascanius Sansovinus poisoned in 1516 with his brothers by his uncle. Good work of Giov. da Nola"".",complete
129,129,sup 1210,"Jacobus Sanseverinus poisoned in 1516 by his wicked uncle on the same day as his two brothers. A good work of Giov. da Nola"".",complete
130,130,sup 1211,"The great Viceroy Pietro di Toledo, who died poisoned by his son in law Cosimo in 1553, erected this monument in his life time. The Nolano who executed it must have been very old, as he was born in 1475. By the inscription the tomb was dedicated by the Viceroy Garsin, Pietros son in 1570. Pietro has also a simple monument in the Duomo of Florence"".
",complete
131,131,sup 1331,"Padua. Mr. Perkins says that this is an overcrowded, ill composed picture"".",complete
132,132,sup 1212,"This Theodore the Duke and Consul of Naples is send to have founded the Church in 821. His inscription in greek on a marble that broken in several pieces is fixed into the wall near the sarc. which is of a Bacchananial nature"".
",complete
133,133,sup 1235,"Tomb of Galeazzo Sanseverino who died in 1467. Beautiful early renaissance. Magnifici et splendidi equitis Gal. de Sancto Severino, etc. etc. Ossa hic sita sunt. Obiit die XXI M. Januarii Anno D. MCCCCLXVII"".",complete
134,134,sup 1214,"1565"".",complete
135,135,sup 1215,"Santa Chiara. Naples. Tomb of Agnese daughter of Maria of Durazzo. She died in 1387 wife of Giacomo del Balzo, Prince of Taranto and Emperor of Costantinople. And of Clementina her sister who died unmarried"".",complete
136,136,sup 337,"The castle all of brick is magnificent and most extensive. / All the coats, which were enormous papal ones in terra cotta / with side scutcheon of papal legates, have been destroyed, but / a stone remains with the architects name: / MCCCCLXVI / OPUS MATHEI / NUTII PHANESIS. / This would be of Pauls 2. time. This Pope took Cesena from Roberto Malatesta. / Cesar Borgia made Cesena the capital of his duchy, the Romagna. / The Cesenati had declared him their Signore in 1500 and remained / true to him to the end of his reign. The rocca was not surrendered till August 1504, / in exchange for Cesar's liberty. But on the 20th of August the gran Capitano sent / him a prisoner to Spain. / Malatesta Novello, [...] of Pisano's medal, was lord of Cesena in 1450. / He died in 1465 and then Paul II took possessione of his lordship"".",incomplete
137,137,sup 1216,"Monument of Charles the Illustrions, oldest son of King Robert. He died in 1328. He is shown clad in a royal mantle, painted blue with golden lilies. The wolf and lamb drinking at his feet in the basrelief betoken the harmony existing between nobles and people during his Government. The tomb shows Tuscan influence and is probably by a scholar of Tino da Camaino, who was in Naples from 1321 to 1333. See Perkins"".
",complete
138,138,sup 338,"Cesena. / Part of fortress in the town about 1500"".",complete
139,139,sup 1217,"Santa Chiara. Naples. Tomb of Maria duchess of Durazzo, Queen Giovannas sister. She died in 1366. She lies crowned and in an empiress robes. The inscription, in Gothic letters, says: ""Maria de Francia imperatrix Costantinopolitana ac ducissa Duraciis"". This monument is in a better style than that of her father, Duke Charles of Calabria"".",complete
140,140,sup 1218," Duomo. Naples. Of the original monument to Pope Innocent IV, erected in 1318 by Umberto di Montauro, detto il Metropolita, archibishop of Naples, only the tomb itself, adornet with Cosimati mosaics and perhaps the lower half of the recumbant statue remain, the rest is the work of the renaissance artist who re-wrote in Latin ..."".",incomplete
