,Inv,Note
13,"Foto sup 882, verso: nota anonima manoscritta","Santa Casa. Loreto. / The Annunciation by the elder Sansovino. He worked at the S. Casa from / 1513 to 1523. Says Vasari: ""non di marmo ma pare veramente celeste"". / The visitation and the Ta[...] by Montelupo and Fr. da Sangallo. / Medici arms""."
14,"Foto sup 1007, verso: nota anonima manoscritta","The great Oscan godders of maternity. This of tufo covered with stucco.""."
15,"Foto sup 884, verso: nota anonima manoscritta","Ad matrem Christi qua templo presidet isti / Qui legis ingredere, veniamq; precando merere. / Cum bis centenus ausisset tempora denus / Annus millenus floreret papa Serenus / Imperiiq; decus princeps Otto. Sumere equus / Hec Philippe pie decorasti cum pie Marie. / This is Otto the Guelph Anno 1210""."
16,"Foto sup 885, verso: nota anonima manoscritta","Fra Gabriele died in 1456. The monument is a fine renaissance work""."
17,"Foto sup 889, verso: nota anonima manoscritta","Ancona. La cripth of Duomo, S. Ciriaco. Sarcophagus of Titus Gorgonius, precetor of / Ancona and of his wife. The wedded pair are represented on the / front as crowding at the feet of Christ, on the back / in a medallion embraing one another. //
"
18,"Foto sup 891, verso: nota anonima manoscritta","Built by Sigismund Malatesta in 1452. / It is now a prison. On its wall: /  Sigismundus Pandulfus Pan. 7. / Minimis antiquissimorum murorum reliquis / Hic inventis, arcis hagus turres et muros / Et opportunissimum maris terraque / Accursum dedit. MCCCCLII""."
19,"Foto sup 1008, verso: nota anonima manoscritta","Paestum. A tower in the Greek wall about 350 before Christ.""."
20,"Foto sup 1009, verso: nota anonima manoscritta","Porta della Sirena. Pastum. Lenormant thinks the walls, and certainly the gate with the Nereid à quen de poisson of second half of 4.th century, or later stile, of Alexander of Epirus time. I doubt that the arch is so old."""
21,"Foto sup 1046, verso: nota anonima manoscritta","Bronze door of 1176"". "
22,"Foto sup 1012, verso: nota anonima manoscritta","In cloister of Amalfi Duomo. Sarc. of an archbishop of the Capuani family (by the coat) who died about 1350; Pietro Capanno was he called. The relief of the Madonna della Neve is of about 1400; the two Jesuit Saints are of course after 1600"". 
"
23,"Foto sup 897, verso: nota anonima","Urbino / duomo - Madonna col bambino - / Residuo di affresco. Sec. XIV""."
24,"Foto sup 127, verso del supporto secondario: nota anonima manoscritta","S. Maria Pomposa, near Comacchio. / Window of this great abbey""."
25,"Foto sup 128, verso del supporto secondario: nota anonima manoscritta","Christian sarcophagus of the 5 th. century representing Jesus Christ / seated, between two standing disciples, in a chair with his feet / resting on the lion and the basilic. The palm trees mean / that this took place in Judea. / The sarcophagus, which is at Ravenna, is now under cover near / S. Francesco. In the middle ages it became the burial place / of the Pignatta, who fashioned the corner ornaments of the lid / with pots (pignatte) their canting arms"".
"
26,"Foto sup 183, verso: nota anonima manoscritta","Ravenna. / Exterior of S. Francesco, when / Dante was buried. / The two ends of the sarcophagus used by the Pignatti. / The Annunciation and perhaps the espousals of Joseph & Mary. / Says Kraus: of circa 420 und von grosser Bedetung. [...] Engel; Aus dem Apocrypha""."
27,"Foto sup 129, verso del supporto secondario: nota anonima manoscritta","Monogram of Theodoricus""."
28,"Foto sup 130, verso del supporto secondario: nota anonima manoscritta","This is not the tomb of Pietro Damiano who died in 1072, but of Pietro degli Onesti [died in] 1119. / But P. Damiano was an in mate of the same cloister and also calls himself / Peccator: ""In quel loco fu'io Pier Damiano, / E Pietro Peccator fui nella casa / Di nostra Donna in sul lito Adriano"". Parad. XXI."".
"
29,"Foto sup 1028, verso: nota anonima manoscritta","Campanile of Caserta vecchia""."
30,"Foto sup 1030, verso: nota anonima manoscritta","Cimborio of Caserta vecchia""."
31,"Foto sup 1030, verso: nota anonima manoscritta","Campanile of Caserta vecchia""."
32,"Foto sup 1035, verso: nota anonima manoscritta","The pulpit is dated 1272, but the head of Sigulgnita Rufulo is probably older; She should be compared with Fedeltà di Capua"".
"
33,"Foto sup 132, verso del supporto secondario: nota anonima manoscritta","Ravenna. / Whatever may the date of the foundations, / I do not consider the superstructure older than / the 12 th. or 13 th. century""."
34,"Foto sup 1037, verso: nota anonima manoscritta","Museo Campano. Capua. A made up Trophy"".
"
35,"Foto sup 1042, verso: nota anonima manoscritta","Two portrait busts, double the size of life, representing Pier della Vigna and Taddeo da Sessa (gran judice of Capua) and a third bust, nearly 3 times the size of life reproducing an idealized Greek female and called Fedeltà di Capua, or Capua imperiale were in the year 1875 brought into the Museum. This last bust, here shown, is of the Juno type...""."
36,"Foto sup 1044, verso: nota anonima manoscritta","Museum. Capua. The Oscan godders of maternity. From a temple the remains of which were day up in 1845, when there statues were found. Kore, or more probably Demeter, her mother, was the goddess worshiffed there in. There are any number of her statues and statuettes, a whole wormfull and they are of tufo intonacato di stucco ...""."
37,"Foto sup 135, verso del supporto secondario: nota anonima manoscritta","Ravenna. / S. Apollinare in Classe. / Sarcophagus of an archbishop of Ravenna. / Hic tumulus clausum servat corpus domn Felicis sciss.ac ter beatiss. archiepiscopi. / San Felice died circa 705. Agnello says in 716""."
38,"Foto sup 1047, verso: nota anonima manoscritta","Ravello. The second or simpler pulpit, being the older one of the two. Erected by Bishop Constantini Rogadeo who sat from 1094 to 1150""."
39,"Foto sup 135, verso del supporto secondario: nota anonima manoscritta","The throne of Neptune - Greek bas relief in San Vitale. Ravenna""."
40,"Foto sup 141, verso del supporto secondario: nota anonimo manoscritta","Ravenna. / Battistero della Basilica Ursiana / The oldest building in Ravenna, circa 430. / The font also is of the 5 th. century"".
"
41,"Foto sup 143, verso del supporto secondario: nota anonima manoscritta","Ravenna. / S. Francesco. / Sarcophagus of S. Liberio II, archibishop of Ravenna. / Now an altar. / He died towards the end of the 4 th. century, before 400. / ""Noch von antiker trefflichkeit""""."
42,"Foto sup 142, verso del supporto secondario: nota anonimo manoscritta","Ravenna / Basilica Ursiana. /  Sarcophagus containing the remains of S. S. Maximianus and / Exuperantius, archibishops of Ravenna. It is now an altar. Maximiano died in 532, Exuperantius in 432""."
43,"Foto sup 159, verso del supporto secondario: nota anonima manoscritta","Sacresty. Duomo. Ravenna. /  Silver cross. By the lettering of the inscription: / ""Salve crux Christi benedicta redemptio mundi."" / It appears to the of about the year 1300""."
44,"Foto sup 161, verso del supporto secondario: nota anonima manoscritta","S. Francesco. Ravenna. / [...] tomb of Ostasio da Polenta, who died in 1386. / He was probably the grandson of Dantes protector Guido, / the father of Francesca. He was the great, great, grandson. / In his lifetime a warrior and tyrant, he put on S. Francis / habit to die saving his soul. / Someone has stolen his marble feet. / Hic jacet magnificus Dominus ...""."
45,"Foto sup 135, verso del supporto secondario: nota anonima manoscritta","Ravenna. / Mausoleo of Galla Placidia. / Sarcophagus of the Emperor Onorio, her brother. † 423""."
46,"Foto sup 167, verso del supporto secondario: nota anonima manoscritta","Ravenna. / S. Apollinare in Classe. / San Teodoro died A.D. 688"""
47,"Foto sup 1114 verso, : nota anonima manoscritta","The duchess died in 1470. The duke was so pleased with the monument of the Cardinal of Portugal that he gave Antonio Rosselino a commission for a similar work. See Perkins. Qui legis hac, submissius legas, ne dormientem excites. Rege Ferdinando ...""."
48,"Foto sup 168, verso del supporto secondario: nota anonima manoscritta","Ravenna. S. Vitale. / Sarcophagus of the Exarch Isaac, the great ornament of Armenia 619-638. / Erected by his wife Susanna, who, in the great inscription, calls herself / a widowed [...] dove."""
49,"Foto sup 1115, verso: nota anonima manoscritta","San Giovanni a Carbonara. Naples. Tomb of Galeazzo Caraccioli by Pietro della Plata and Giovanni da Nola. about 1530. The chapel of these Caraccioli Rossi was founded by Galeazzo in 1516, the monument put up by his son. The Adam was stolen by the French""."
50,"Foto sup 1116, verso: nota anonima manoscritta","Monument to Maria di Durazzo who died in 1371, aged 7 years. She was the daughter of Charles III and sister of king Ladislaus. Hic jacet corpus illustrix (sic) puele dne Marie d'Duracio filia (sic) regis""."
51,"Foto sup 171, verso del supporto secondario:  nota anonima manoscritta","Ravenna. / Basilica Ursiana. / The two ends of the sarcophagus of S. Barbatianus. / 5 th. century""."
52,"Foto sup 1118, verso: nota anonima manoscritta","Carlo died in 1476, but the monument was not made until some 40, or more years, after. It is a good work of Giov. da Nola""."
53,"Foto sup 1122, verso: nota anonima manoscritta","Lantrees monument put up about 1560 by Gonsalvo da Corllebas nephew. ""Gallo duci princeps Hispanus posuit""""."
54,"Foto sup 175, verso del supporto secondario: nota anonima manoscritta","Ravenna. Museo Lapidario in archibishop palace. / The principal inscription reads thus: / Hic requiescit in pace vir sbl / sed aignicus et cubicularius regis / Theodorici qui vixit ann. plm. / XL. depositus est sub d. IIII id. / Martias Basilio jun. v.c. cons. / indictione quarta""."
55,"Foto sup 1124, verso: nota anonima manoscritta","Vincentio Spinelli aged 42, son of Ferdinand Protonotarius, erected by Virginia Caraccioli, his wreping wife in 1576. Her bass is at the side of the monument. The Spinelli were one of the older families of Naples. They have a bishop in a pagan sarc. in the Priorato of Rome""."
56,"Foto sup 1125, verso: nota anonima manoscritta","Traiano Spinelli, the son of Ferdinand, aged 36. He died in 1576. The monument was erected by the wrepius Catherina Ursina, his wife""."
57,"Foto sup 1126, verso: nota anonima manoscritta","Monument of Isabella Spinelli, who died in 1580, erected by her sons Alfonsus and Antonius Caraccioli""."
58,"Foto sup 1128, verso: nota anonima manoscritta","Dorotea Spinelli, a widow aged 63; erected by her son Iulius Caesar Capua Conchae princeps""."
59,"Foto sup 1131, verso: nota anonima manoscritta","Hic jacet dna. Trudella Filumarina de Neapoli filiae dni. Loffridi Filumarini seneschalchi domini ducis que obiit anno dni. MCCCXXXV die XXV mense septembris undic. V. cupus anima requiescat in pace. His jacet dominus Loffridus Filumarinus senescal. dni. ducis Calabrie qui obiit anno MCCCXXXV die quarto decimo mens. Aprelis. cuy. ani. requiescat ...""."
60," Foto sup 1300, verso del supporto secondario: nota anonima manoscritta","S. Gennaro. Naples. Gothic monument to Cardinal Minutoli, who died at Bologna in 1412. / Enrico Minutoli, a noble Neapolitan, made a Cardinal by Boniface IX in 1389, died at Bologna and was buried in a sumptuons mausoleum in his family chapel in the Cathedral of Naples. The tomb was made by Antonio di Domenico of Piperno, called Bamboccio""."
61,"Foto sup 1133, verso: nota anonima manoscritta","1530. Monument of Andrea Bonifacio Cicara, a child of six years of age. It is about the best work of Giovanni da Nola. The inscription is by Sannazzaro. Nate patris et matris amor et suprema voluptas Ex tibi quae nobis te dare sors vetuit Busta etiam tristesq notas domus invida quando Mors immaturo funere te rapuit. Andrea filio dulciss. qui vixit ...""."
62,"Foto sup 179, verso del supporto secondario: nota anonima manoscritta","Ravenna. / S. Francesco. / Sarcophagus of 4 th. or 5 th. century, used in 1707 by a noble Ravennate""."
63,"Foto sup 1137, verso: nota anonima manoscritta","Tomb of the last Cicara by Pietro della Plata, a spaniard. The inscription is by Sannazzaro. Yoanni Baptiste Cicaro In quo vetusta ac nobilis. Cicaror familia esse desiit. Mariella mater infeliciis. memoria causa contra votum pietatis posuit. Vin. Ann. XXII M.IX D. XXIX Hor. XVI Decessit salutis Anno MDIIII Prid. Kl. Decembr. ...""."
64,"Foto sup 181, verso del supporto secondario: nota anonima manoscritta","Ravenna. / Mausoleo of Galla Placidia. / Sarcophagus of Costantinus III, her second husband † A.D. 421""."
65,"Foto sup 1138, verso: nota anonima manoscritta","Filippo of Taranto was titular Emperor of Costantinople. He died in 1332. It was younger brother of king Robert""."
66,"Foto sup 1139, verso: nota anonima manoscritta","Giovanni of Durazzo, who died in 1335, was a younger brother of king Robert""."
67,"Foto sup 1140, verso: nota anonima manoscritta","Gothic tomb of Giovanna d'Aquino, Countess of Mileto and Terranuova, who died in 1345 Below in the sarcophagus and inscription of a boy of the Aquino family, Gaspare, who died in 1530 and who, Mr. Hare says, was her son!!""."
68,"Foto sup 1143, verso: nota anonima manoscritta","The tomb of Antonia Gaudino snatched away in 1530 from the bridegroom, the wedding torches and the conch at the early age of 14. This is a pleasing work of Giovanni da Nola""."
69,"Foto sup 184, verso del supporto secondario: nota anonima manoscritta","Ravenna. / S. Francesco. / Sarcophagus of 4 th. century. In the middle ages it was used by some noble, whose coat it bears""."
70,"Foto sup 1231, verso: nota anonima manoscritta","Monument of King Robert the wise erected by his granddaughter and successor Queen Giovanna. Baccio and Giovanni, fiorentini the artists. He died in 1343. He is represented four times: 1. Standing with his wives and children. 2.Lying on his deathbed, clad as a Franciscan. 3.Seated on his throne. 4. Kneeling and presented to the [...] See Perkins ..."""
71,"Foto sup 171, verso del supporto secondario: nota anonima manoscritta","Ravenna. / Basilica Ursiana. / The two ends of the sarcophagus of S. Rinaldus, archibishop""."
72,"Foto sup 186, verso del supporto secondario: nota anonima manoscritta","Ravenna. / S. Maria in Porto. Campanile said to be of 11 th. century. / It is like Campanile of S. Marco at Venice. More than half of the exterior tower has come away leaning. / The interior tower standing and showing marks of the wanting stairs""."
73,"Foto sup 1146, verso: nota anonima manoscritta","about 1380""."
74,"Foto sup 171, verso del supporto secondario: nota anonima manoscritta","Ravenna. / Basilica Ursiana. / Sarcophagus of S. Barbatianus, Galla Placidia confessor. / 5 th. century""."
75,"Foto sup 171, verso del supporto secondario: nota anonima manoscritta","Ravenna. / Basilica Ursiana. / Sarcophagus of S. Rinaldo, Archibishop of Ravenna. This is of the fifth century but S. Rinaldo himself died A. D. 1321. / Raynaldo de Mediolano de domo Corrigio, homo sancta et honesta / vita, qui nulla miracula fecit. Suo tempore constructa est de novo / tota navis ecclesiae ursianae et balena Ravenna [...] est in ripa maris. / Sepultus est in eccl. maj. de Ravenna in arca juncta altare / S. Maria in medio eccl""."
76,"Foto sup 188, verso del supporto secondario: nota anonima manoscritta","The so called Apotheosis of Augustus - Sacresty San Vitale Ravenna. / I think it represents the Julian family: / Julius seated (much like an old woman), Augustus in armour, / Drusus, Livia and Tiberius. The figure in armour resembles the / statue found at Prima Porta ad Gallinas Albas""."
77,"Foto sup 197, verso del supporto secondario: nota anonima manoscritta","S. Apollinare in Classe near Ravenna. / Mosaic of end of 7th Century - the last in point of date of Ravenna""."
78,"Foto sup 198, verso del supporto secondario: nota anonima manoscritta","San Vitale. Ravenna. Mosaic of 547. / The empress Theodora surrounded by the ladies of her court bears / an offering to the temple of San Vitale. She has the halo as a mark of dignity""."
79,"Foto sup 3259, verso del supporto secondario: nota anonima manoscritta","San Vitale. Ravenna consecrated by Bishop / Maximianus in 547. / The emperor Justinian bearing a royal offering accompanied by bishop, priest and soldiers. The emperor alone has the halo as a mark of dignity. This is a superb mosaic but has been much retouched""."
80,"Foto sup 200, verso del supporto secondario: nota anonima manoscritta","Ravenna. / Chapel of S. Pietro Chrisologo in Archbishops palace. / Roof in mosaics with angels and evangelists. 547 A. D.""."
81,"Foto sup 201, verso del supporto secondario: nota anonima manoscritta","Giovanni Evangelista. Ravenna. / Doorway of atrium of beginningf of 4 th. century. / The basreliefs represent the Empress Galla Placidia / embracing the Apostole's foot and carrying off his sandal, and above her offering the sandal to Jesus Christ and St. John, / whilst her confessor S. Barbatium is assisting at both scenes. / Galla Placidia built the basilica in 425 in discharge / of a vow made during a storm at sea"".
"
82,"Foto sup 3260, recto del supporto secondario: nota anonima manoscritta","San Vitale, Ravenna. A.D. 550""."
83,"Foto sup 232, verso del supporto secondario: nota anonima manoscritta","Ravenna. / S. Apolinare Nuovo built by Theodoric and consecrated / and adorned with the most beautiful mosaics in Italy in 570. / The Campanile is probably of the 9 th. century, perhaps contemporary / with the rededication of the Church in 856""."
84,"Foto sup 234, verso del supporto secondario: nota anonima manoscritta","Ravenna, / Museum in Archbishops palace. / Arian cross in marble"""
85,"Foto sup 1149, verso: nota anonima manoscritta","about 1380""."
86,"Foto sup 1153, verso: nota anonima manoscritta","Santa Chiara. Naples. The monumental record of two children, one the daughter of Charles the Illustrioris, who must have died shortly after her fathers death in 1320, the other an infant daughter probably of Queen Giovanna. The child died in 1344. Marie Karoli icliti pcipis dni Robti Tertm Sicilie regis pmogeneti quda Calabrie pclarissime ...""."
87,"Foto sup 239, verso del supporto secondario: nota anonima manoscritta","Ravenna. / The Campanile of S. Appolinaris ad Classem, or in Classe. / The Church built under the Gothic rule was consecrated / in 549. / The Campanile is later as its bricks are smaller than and of inferior workmanship to those used in the walls of the Abbey. Mr. Freeman says it is later than Charlemagne, as it is not / mentioned by Agnellus, a local writer of the 9th century""."
88,"Foto sup 1155, verso del supporto secondario: nota anonima manoscritta","About 1350""."
89,"Foto sup 1157, verso del supporto secondario: nota anonima manoscritta","Marie de Valois was the wife of Duke Charles of Calabria. She died in 1328. She is represented in a blue mantle. The tomb is of a quiet, lifeless, but comparatively correct style, says Mr. Perkins. It is by an artist of the Tuscan school, probably a follower of Tino da Camaino""."
90,"Foto sup 240, verso del supporto secondario: nota anonima manoscritta","Ravenna. / A venetian home""."
91,"Foto sup 1159, verso del supporto secondario: nota anonima manoscritta","Hic requiescit corp. dne. Leticiae Caraczole pus. relicte quondam dni Philippi Caraczoli dicti Carrafa et so. domini Bartholomeo Bulchani que obiit anno dni. MCCCXXXX die ultimo mens. Januarii VIII Ind. Aia requiescat in pace. amen. So. means sorror The Vulcani were a great Neapolitan family to which the Cardinal, buried in Sancta Francesca Romana, belonged""."
92,"Foto sup 1160, verso del supporto secondario: nota anonima manoscritta","Monument of Maria Queen of Charles II (lo Zoppo) and daughter of Stephen IV of Hungary. She died in 1323. This beautiful tomb is by Tino da Camaino. The seated figures round the sarcophagus represent her husband and children, amounght them her sainted son, Louis of Toulouse. Hic requiescit Sanctae Memoriae excellentissima Domina Domina Maria, Dei ...""."
93,"Foto sup 1161, verso del supporto secondario: nota anonima manoscritta","The poet died in 1575. This is the master piece of Domenico d'Auria""."
94,"Foto sup 1163, verso del supporto secondario: nota anonima manoscritta","1513. Justice and Temperance inspired by Sansovinos virtues in S. Maria del Popolo, Rome""."
95,"Foto sup 1164, verso del supporto secondario: nota anonima manoscritta","Magnifico militi Tomasio Brancatio de Neapoli, qui cum moriens de sepultura nihil excogitasset, Julia Brancatia conjugi dilectissimo ac benemerenti faciundam curavit. MCCCCLXXXXII""."
96,"Foto sup 1167, verso del supporto secondario: nota anonima manoscritta","Monument of King Ladislaus in S. Giovanni Carbonara, Naples. It is said to have been executed by Andrea Ciccione in 1433. It is transitional and therefore interesting in the history of art. It is in three divisions. Below, three virtues; then Ladislav and his sister, queen Joanna II, who ordered the tomb, seated; above the sarcophagus ...""."
97,"Foto sup 1168, verso del supporto secondario: nota anonima manoscritta","Monument of Cardinal Rinaldo Brancaccio in S. Angelo a Nilo, Naples. This admirable work is by Donatello and Michelozzo, his scholar. ""Una sepoltura abbiamo fra le mani per Napoli, di Messer Rinaldo, Cardinale de' Brancacci di Napoli. Dobiamo avere fiorini 850 di camera, e a tutte nostre spese l'abiamo a compiere e condurre a Napoli; ..."".
"
98,"Foto sup 1169, verso del supporto secondario: nota anonima manoscritta","A good modern campanile for comparison with older forms. In this church lies Conradin""."
99,"Foto sup 261, verso del supporto secondario: nota anonima manoscritta","Parma, in the biblioteca. / L'Incoronata brought from S. Giovanni, a wonderful fragment of fresco""."
100,"Foto sup 264, verso del supporto secondario: nota anonima manoscritta","Ravenna. / Campanile of San Giovanni e Paolo. / The smallest and perhaps the oldest of the round campanili""."
101,"Foto sup 281, verso del supporto secondario: nota anonima manoscritta","As Giacomo della Quercia left Bologna finally in 1435 / and died at Siena in 1438, he could not have made / this monument to Fava who died in 1439. It is / probably by one of his scholars""."
102,"Foto sup 283, verso del supporto secondario: nota anonima manoscritta","Hannibal Bentivoglio slain by the Canedoli in 1458. / Quo nemo utilior patrie nec pace nec armis / Bentivole gentis Hannibal hic situs est / Expulit is dudum possessa ex urbe tirannum / Ut profugos cives restitutus patriae / A quibus ingratae sceleratu monte peremptus / Sed meritum sumptis factio supplicium / Nam sceleris tanti affinis quicumque fuisset / Hic ferro aut flamma oremia digna tulit""."
103,"Foto sup 285, verso del supporto secondario: nota anonima manoscritta","Of the same period as the Tartagna monument in S. Domenico 1477. / The inscription is that of one the Malvezzi family who died / in this century"".
"
104,"Foto sup 291, verso del supporto secondario: nota anonima manoscritta","Executed by Fra Guglielmo""."
105,"Foto sup 293, verso del supporto secondario: nota anonima manoscritta","Executed by Fra Guglielmo""."
106,"Foto sup 315, verso del supporto secondario: nota anonima manoscritta","Taddeo Pepoli † 1307. / He was podestà of Bologna and had to give over the city to the legate / of the Avignon Pope Benedict XII in 1330""."
107,"Foto sup 319, verso del supporto secondario: nota anonima manoscritta","Bologna. / Piazza di San Domenico. / Monument of the Foscherari. / It was erected in 1289 partly out of antique marbles / and makes mention of Egidius, moribus eximius""."
108,"Foto sup 1175, verso del supporto secondario: nota anonima manoscritta","Museo Nazionale Napoli. The boxer of Aphrodisios from Sorrento"".
"
109,"Foto sup 1263, verso del supporto secondario: nota anonima manoscritta","Collignon says that this boxer is a copy of an original of the 5.th century B.C.""."
110,"Foto sup 324, verso del supporto secondario: nota anonima manoscritta","Duomo. Ferrara. / Lower portion dated 1135, upper of 13 th. and 14 th. centuries. / The marble head in a medallion over the side door is called / Donna Ferrara, it is probably the head of a lady of the Este / family. The statue in a niche is that of the Marchese Alberigo / d'Este and was put up in 1393""."
111,"Foto sup 1179, verso del supporto secondario: nota anonima manoscritta","It is probably an archaistic work, the F+W N°21 hold it for archaic. In this relief the sex of the dead hunter is indicated""."
112,"Foto sup 328, verso del supporto secondario: nota anonima manoscritta","This beautiful tomb which Perkins admires so much is / signed and dated: Ambrosii Mediolanensis opi 1475. / The verses beginning with: tu decus urbis were written by / Tito Strozzi. Lorenzo was the brother of Bartolomeo Roverella, the cardinal / buried in S. Clemente, Roma. Lorenzo was professor at Padua / in 1445, nuntius and legate of Calixtus and promoted in 1465 / by Pius III to the see of Ferrara. He celebrated the marriafe of Eleanor / of Aragon with duke Hercules in 1473 and died in 1474 at Monte / Oliveto. His brother transferred his remains to the church of S. George. / The reclining figure of the bishop on the monument is admirable / also the Virgin and child by the master; the 5 figures bu the scholar / are inferior, and the St. George above mediocre""."
113,"Foto sup 1180, verso del supporto secondario: nota anonima manoscritta","An antique of the school of Praxiteles or Scopas, and brought to Naples with Farnese Collection. The torso is an original of the 4.th cent. B.C. and appears to be the school of Praxiteles""."
114,"Foto sup 1182, verso del supporto secondario: nota anonima manoscritta","Found at Ischia. Farnese""."
115,"Foto sup 1184, verso del supporto secondario: nota anonima manoscritta","Magnificent early renaissance tomb, under the influence of Donatello to Antonio Carrafa, called Malizia. +1438. +Magnificus dns. Malicia Carrafa, miles. obiit An. Dni. MCCCCXXXVIII. Observe him quite small presented by his Angel to the Madonna. Natorum hoc pietas struxit mihi sola sepulcrum; at which time king Alfonso brought peace back to Ausonia""."
116,"Foto sup 1275, verso del supporto secondario: nota anonima manoscritta","San Giovanni a Carbonara, Naples. Monument of Ser Gianni Caracciolo, the grand seneschal and favorite of Queen Joanna II. He was eventually murdered. The work is ascribed to Andrea Ciccione. To me it is stiff and even clumsy, but interesting as showing the passage of the Gothic to the Renaissance at Naples. 1432 is the date of the great seneschals death ...""."
117,"Foto sup 1195 verso, : nota anonima manoscritta","Tomb of Mariano d'Alagni Count of Bucchianino and of Caterina Orsini, his wife; they died in 1477. If by Agnello Agnelli del Fiore, the monument must have been put up some years later, as he was born in 1465""."
118,"Foto sup 332, verso del supporto secondario: nota anonima manoscritta","The blessed Marcolino was born at Forli in 1316 and died there in 1397. / He was a domenican, a reformer of his order and a great preacher. / He predicted the date of his death. / Many miracles were worked at his tomb, but he was not beatified by the Pope till 1750. / As Benedetto da Majano was born in 1442, he could not have made this work, dated 1458""."
119,"Foto sup 1196, verso: nota anonima manoscritta","1375. Observe the little dogs and the peculiar head dressed""."
120,"Foto sup 1197, verso: nota anonima manoscritta","Santa Chiara. Naples. Tomb of Raimondo del Balzo, Count of Soleto; he died in 1375. His falcon has but one leg""."
121,"Foto sup 1198, verso: nota anonima manoscritta","Tomb of Antonio da Penna secretary of king Ladislas, 1407, send to have been sculptured by Antonio Baboccio; to me it is too bad in style to be even by Baboccio and the lettering, perfect Latin except the x, makes it later then his time. Premia si meritis donant condigna superni Hic meruit superum post sua futa locum Dum vincit virtute ...""."
122,"Foto sup 333, verso del supporto secondario: nota anonima manoscritta","Giacomo Salomoni was born in Venice in 1231 and died / at Forli in 1314, aged 83. He was called l'amico dei poveri. / His burial was illustrated by many miracles; the people of / Forli proclaimed him a saint, and afterwards he was beatified by the Pope""."
123,"Foto sup 1203, verso del supporto secondario: nota anonima manoscritta","Monument of Ludovico Aldemoresco by Antonio Baboccio in 1414 at the age of 70. It is a rude monument but remarkable. S.t Louis of France presents his namesake to the Virgin and child. Aldemorescos brother is presented by an angel; the sarc. is supported by 4 armed members of the family. Viri sortissimi germaniq. fratres ex Aldemoniscorum familia ...""."
124,"Foto sup 1205, verso del supporto secondario: nota anonima manoscritta","Santo Vitaliano Reg. Arag. alumno patri pientiss. Hippolite Imperator conjugi dulciss. Nicolaus Franciscus Vitalianus ad perpetuam memoriam erigendum cur. A. Sal. MCCCCLXXXXVII""."
